I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
4.000000,4.712389,0.050000,0.000000,0.000000,0.017223,-0.027974,0.000000,5.088191,-8.598322,0.000000,0.021970,-0.043940,0.043940,0.036660,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.014616,-0.024367,0.000000,5.266040,-8.518740,0.000000,0.021970,-0.021970,0.065910,0.011872,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.004562,-0.025225,0.000000,5.522980,-8.430655,0.000000,0.000000,-0.043940,0.065910,0.050734,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.019755,-0.046981,0.000000,5.630210,-8.290977,0.000000,0.043940,-0.021970,0.065910,0.000000,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.015122,-0.033854,0.000000,5.774372,-8.221369,0.000000,0.021970,-0.043940,0.065910,0.038567,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.008174,-0.010821,0.000000,5.876350,-8.233567,0.000000,0.021970,0.000000,0.043940,-0.011860,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.003641,-0.030940,0.000000,6.160221,-8.023331,0.000000,0.021970,-0.021970,0.065910,0.013997,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.023342,0.001817,0.000000,6.254153,-8.007975,0.000000,0.000000,-0.021970,0.065910,0.025275,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,-0.005968,-0.035312,0.000000,6.489011,-7.812996,0.000000,0.021970,0.000000,0.065910,-0.010454,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.013061,-0.045747,0.000000,6.560203,-7.683359,0.000000,0.043940,-0.043940,0.065910,0.030021,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.050720,-0.001126,0.000000,6.592290,-7.662824,0.000000,0.021970,-0.043940,0.065910,0.040598,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.019605,-0.000725,0.000000,6.791998,-7.571869,0.000000,0.021970,-0.021970,0.043940,0.015747,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.023975,-0.018121,0.000000,6.963146,-7.391571,0.000000,0.021970,-0.043940,0.065910,0.041166,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.038555,-0.014541,0.000000,7.088872,-7.255781,0.000000,0.000000,-0.043940,0.043940,0.049763,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.008754,-0.028627,0.000000,7.354205,-7.067084,0.000000,0.043940,-0.021970,0.065910,0.009100,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.023007,-0.026015,0.000000,7.426558,-6.979651,0.000000,0.021970,-0.021970,0.065910,0.017155,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.039157,-0.022361,0.000000,7.538527,-6.838153,0.000000,0.043940,-0.043940,0.043940,0.035208,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.031149,-0.015079,0.000000,7.655718,-6.751319,0.000000,0.021970,-0.021970,0.043940,0.017824,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.061668,0.020727,0.000000,7.699902,-6.714120,0.000000,0.000000,-0.065910,0.043940,0.072829,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.051631,0.006829,0.000000,7.776615,-6.646331,0.000000,0.000000,-0.021970,0.065910,0.024088,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.027519,-0.005619,0.000000,7.959725,-6.449893,0.000000,0.043940,-0.043940,0.065910,0.037772,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.021535,-0.039760,0.000000,8.134125,-6.196456,0.000000,0.043940,0.000000,0.087880,-0.008976,0.000000
